"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",576727,1138752000000
1,"Imports",200602,"2006-02",460668,1141171200000
1,"Imports",200603,"2006-03",1409322,1143846000000
1,"Imports",200604,"2006-04",554239,1146438000000
1,"Imports",200605,"2006-05",677362,1149116400000
1,"Imports",200606,"2006-06",350217,1151708400000
1,"Imports",200607,"2006-07",281295,1154386800000
1,"Imports",200608,"2006-08",455299,1157065200000
1,"Imports",200609,"2006-09",718670,1159657200000
1,"Imports",200610,"2006-10",2575571,1162339200000
1,"Imports",200611,"2006-11",521909,1164931200000
1,"Imports",200612,"2006-12",502100,1167609600000
1,"Imports",200701,"2007-01",814612,1170288000000
1,"Imports",200702,"2007-02",264548,1172707200000
1,"Imports",200703,"2007-03",475419,1175382000000
1,"Imports",200704,"2007-04",3843824,1177974000000
1,"Imports",200705,"2007-05",496071,1180652400000
1,"Imports",200706,"2007-06",721963,1183244400000
1,"Imports",200707,"2007-07",759192,1185922800000
1,"Imports",200708,"2007-08",983153,1188601200000
1,"Imports",200709,"2007-09",959130,1191193200000
1,"Imports",200710,"2007-10",804408,1193875200000
1,"Imports",200711,"2007-11",1060578,1196467200000
1,"Imports",200712,"2007-12",737347,1199145600000
1,"Imports",200801,"2008-01",1036010,1201824000000
1,"Imports",200802,"2008-02",663490,1204329600000
1,"Imports",200803,"2008-03",1041483,1207004400000
1,"Imports",200804,"2008-04",702283,1209596400000
1,"Imports",200805,"2008-05",1509788,1212274800000
1,"Imports",200806,"2008-06",796677,1214866800000
1,"Imports",200807,"2008-07",1142569,1217545200000
1,"Imports",200808,"2008-08",985530,1220223600000
1,"Imports",200809,"2008-09",1040772,1222815600000
1,"Imports",200810,"2008-10",1120993,1225497600000
1,"Imports",200811,"2008-11",2485897,1228089600000
1,"Imports",200812,"2008-12",686529,1230768000000
1,"Imports",200901,"2009-01",512732,1233446400000
1,"Imports",200902,"2009-02",814564,1235865600000
1,"Imports",200903,"2009-03",2729882,1238540400000
1,"Imports",200904,"2009-04",544988,1241132400000
1,"Imports",200905,"2009-05",754590,1243810800000
1,"Imports",200906,"2009-06",432714,1246402800000
1,"Imports",200907,"2009-07",1048195,1249081200000
1,"Imports",200908,"2009-08",844553,1251759600000
1,"Imports",200909,"2009-09",611001,1254351600000
1,"Imports",200910,"2009-10",787384,1257033600000
1,"Imports",200911,"2009-11",764057,1259625600000
1,"Imports",200912,"2009-12",843218,1262304000000
1,"Imports",201001,"2010-01",1305393,1264982400000
1,"Imports",201002,"2010-02",1121478,1267401600000
1,"Imports",201003,"2010-03",1697456,1270076400000
1,"Imports",201004,"2010-04",1528023,1272668400000
1,"Imports",201005,"2010-05",803231,1275346800000
1,"Imports",201006,"2010-06",886961,1277938800000
1,"Imports",201007,"2010-07",1341467,1280617200000
1,"Imports",201008,"2010-08",628102,1283295600000
1,"Imports",201009,"2010-09",945349,1285887600000
1,"Imports",201010,"2010-10",4153747,1288569600000
1,"Imports",201011,"2010-11",942432,1291161600000
1,"Imports",201012,"2010-12",715536,1293840000000
1,"Imports",201101,"2011-01",2220956,1296518400000
1,"Imports",201102,"2011-02",916111,1298937600000
1,"Imports",201103,"2011-03",998880,1301612400000
1,"Imports",201104,"2011-04",784696,1304204400000
1,"Imports",201105,"2011-05",836362,1306882800000
1,"Imports",201106,"2011-06",1354288,1309474800000
1,"Imports",201107,"2011-07",1047954,1312153200000
1,"Imports",201108,"2011-08",1363334,1314831600000
1,"Imports",201109,"2011-09",1116999,1317423600000
1,"Imports",201110,"2011-10",1366116,1320105600000
1,"Imports",201111,"2011-11",878266,1322697600000
1,"Imports",201112,"2011-12",1406321,1325376000000
1,"Imports",201201,"2012-01",2812217,1328054400000
1,"Imports",201202,"2012-02",2202001,1330560000000
1,"Imports",201203,"2012-03",2815233,1333234800000
1,"Imports",201204,"2012-04",2767550,1335826800000
1,"Imports",201205,"2012-05",1771049,1338505200000
1,"Imports",201206,"2012-06",1490411,1341097200000
1,"Imports",201207,"2012-07",2112420,1343775600000
1,"Imports",201208,"2012-08",2277888,1346454000000
1,"Imports",201209,"2012-09",1811674,1349046000000
1,"Imports",201210,"2012-10",1434494,1351728000000
1,"Imports",201211,"2012-11",779794,1354320000000
1,"Imports",201212,"2012-12",1960715,1356998400000
1,"Imports",201301,"2013-01",3760016,1359676800000
1,"Imports",201302,"2013-02",901827,1362096000000
1,"Imports",201303,"2013-03",1478507,1364770800000
1,"Imports",201304,"2013-04",4106764,1367362800000
1,"Imports",201305,"2013-05",1513924,1370041200000
1,"Imports",201306,"2013-06",1472094,1372633200000
1,"Imports",201307,"2013-07",1915548,1375311600000
1,"Imports",201308,"2013-08",1316463,1377990000000
1,"Imports",201309,"2013-09",978273,1380582000000
1,"Imports",201310,"2013-10",4412218,1383264000000
1,"Imports",201311,"2013-11",1044834,1385856000000
1,"Imports",201312,"2013-12",3302317,1388534400000
1,"Imports",201401,"2014-01",1220863,1391212800000
1,"Imports",201402,"2014-02",4738500,1393632000000
1,"Imports",201403,"2014-03",3358106,1396306800000
1,"Imports",201404,"2014-04",2725925,1398898800000
1,"Imports",201405,"2014-05",2699150,1401577200000
1,"Imports",201406,"2014-06",4794323,1404169200000
1,"Imports",201407,"2014-07",1390184,1406847600000
1,"Imports",201408,"2014-08",5426272,1409526000000
1,"Imports",201409,"2014-09",5679415,1412118000000
1,"Imports",201410,"2014-10",1400377,1414800000000
1,"Imports",201411,"2014-11",3876425,1417392000000
1,"Imports",201412,"2014-12",2306444,1420070400000
1,"Imports",201501,"2015-01",2915989,1422748800000
1,"Imports",201502,"2015-02",1547738,1425168000000
1,"Imports",201503,"2015-03",2500414,1427842800000
1,"Imports",201504,"2015-04",2696096,1430434800000
1,"Imports",201505,"2015-05",2641629,1433113200000
1,"Imports",201506,"2015-06",2084373,1435705200000
1,"Imports",201507,"2015-07",2207110,1438383600000
1,"Imports",201508,"2015-08",1105738,1441062000000
1,"Imports",201509,"2015-09",1981061,1443654000000
1,"Imports",201510,"2015-10",1729587,1446336000000
1,"Imports",201511,"2015-11",2684027,1448928000000
1,"Imports",201512,"2015-12",1379231,1451606400000
1,"Imports",201601,"2016-01",1981391,1454284800000
1,"Imports",201602,"2016-02",1211209,1456790400000
1,"Imports",201603,"2016-03",3727582,1459465200000
1,"Imports",201604,"2016-04",3269168,1462057200000
1,"Imports",201605,"2016-05",2457046,1464735600000
1,"Imports",201606,"2016-06",3265184,1467327600000
1,"Imports",201607,"2016-07",1357227,1470006000000
1,"Imports",201608,"2016-08",1451393,1472684400000
1,"Imports",201609,"2016-09",1898387,1475276400000
1,"Imports",201610,"2016-10",1225843,1477958400000
1,"Imports",201611,"2016-11",2418859,1480550400000
1,"Imports",201612,"2016-12",3147050,1483228800000
1,"Imports",201701,"2017-01",2756461,1485907200000
1,"Imports",201702,"2017-02",1998899,1488326400000
1,"Imports",201703,"2017-03",1635401,1491001200000
1,"Imports",201704,"2017-04",3038049,1493593200000
1,"Imports",201705,"2017-05",5003273,1496271600000
1,"Imports",201706,"2017-06",1308700,1498863600000
1,"Imports",201707,"2017-07",1365247,1501542000000
1,"Imports",201708,"2017-08",2542519,1504220400000
1,"Imports",201709,"2017-09",1197964,1506812400000
1,"Imports",201710,"2017-10",2681722,1509494400000
1,"Imports",201711,"2017-11",1241660,1512086400000
1,"Imports",201712,"2017-12",1006679,1514764800000
1,"Imports",201801,"2018-01",4151257,1517443200000
1,"Imports",201802,"2018-02",2359143,1519862400000
1,"Imports",201803,"2018-03",4915953,1522537200000
1,"Imports",201804,"2018-04",3057449,1525129200000
1,"Imports",201805,"2018-05",3885772,1527807600000
1,"Imports",201806,"2018-06",3637775,1530399600000
1,"Imports",201807,"2018-07",2833463,1533078000000
1,"Imports",201808,"2018-08",4970542,1535756400000
1,"Imports",201809,"2018-09",3226248,1538348400000
1,"Imports",201810,"2018-10",3274598,1541030400000
1,"Imports",201811,"2018-11",3204212,1543622400000
1,"Imports",201812,"2018-12",2425542,1546300800000
1,"Imports",201901,"2019-01",3959673,1548979200000
1,"Imports",201902,"2019-02",4109446,1551398400000
1,"Imports",201903,"2019-03",3586803,1554073200000
1,"Imports",201904,"2019-04",3822339,1556665200000
1,"Imports",201905,"2019-05",4757418,1559343600000
1,"Imports",201906,"2019-06",2999504,1561935600000
1,"Imports",201907,"2019-07",2486314,1564614000000
1,"Imports",201908,"2019-08",2641407,1567292400000
1,"Imports",201909,"2019-09",2752714,1569884400000
1,"Imports",201910,"2019-10",4194731,1572566400000
1,"Imports",201911,"2019-11",2811113,1575158400000
1,"Imports",201912,"2019-12",2870842,1577836800000
1,"Imports",202001,"2020-01",2626949,1580515200000
1,"Imports",202002,"2020-02",2890092,1583020800000
1,"Imports",202003,"2020-03",3295843,1585695600000
1,"Imports",202004,"2020-04",3108405,1588287600000
1,"Imports",202005,"2020-05",1169911,1590966000000
1,"Imports",202006,"2020-06",1225427,1593558000000
1,"Imports",202007,"2020-07",2652919,1596236400000
1,"Imports",202008,"2020-08",2099902,1598914800000
1,"Imports",202009,"2020-09",5158637,1601506800000
1,"Imports",202010,"2020-10",3001815,1604188800000
1,"Imports",202011,"2020-11",4181695,1606780800000
1,"Imports",202012,"2020-12",3770069,1609459200000
1,"Imports",202101,"2021-01",3049324,1612137600000
1,"Imports",202102,"2021-02",8722377,1614556800000
1,"Imports",202103,"2021-03",12614085,1617231600000
1,"Imports",202104,"2021-04",11610847,1619823600000
1,"Imports",202105,"2021-05",7074706,1622502000000
1,"Imports",202106,"2021-06",11220243,1625094000000
1,"Imports",202107,"2021-07",7908360,1627772400000
1,"Imports",202108,"2021-08",5640021,1630450800000
1,"Imports",202109,"2021-09",2859962,1633042800000
1,"Imports",202110,"2021-10",3074097,1635724800000
1,"Imports",202111,"2021-11",7329342,1638316800000
1,"Imports",202112,"2021-12",2771819,1640995200000
1,"Imports",202201,"2022-01",3858654,1643673600000
1,"Imports",202202,"2022-02",5019014,1646092800000
1,"Imports",202203,"2022-03",1888199,1648767600000
1,"Imports",202204,"2022-04",2642729,1651359600000
1,"Imports",202205,"2022-05",3653791,1654038000000
1,"Imports",202206,"2022-06",2549131,1656630000000
1,"Imports",202207,"2022-07",4317600,1659308400000
1,"Imports",202208,"2022-08",4512486,1661986800000
1,"Imports",202209,"2022-09",3448956,1664578800000
1,"Imports",202210,"2022-10",3650917,1667260800000
1,"Imports",202211,"2022-11",2990724,1669852800000
1,"Imports",202212,"2022-12",6582512,1672531200000
1,"Imports",202301,"2023-01",4323239,1675209600000
1,"Imports",202302,"2023-02",4147414,1677628800000
1,"Imports",202303,"2023-03",5142977,1680303600000
1,"Imports",202304,"2023-04",10497821,1682895600000
1,"Imports",202305,"2023-05",5782195,1685574000000
1,"Imports",202306,"2023-06",6106776,1688166000000
1,"Imports",202307,"2023-07",5287845,1690844400000
1,"Imports",202308,"2023-08",6942946,1693522800000
1,"Imports",202309,"2023-09",2916791,1696114800000
1,"Imports",202310,"2023-10",4206070,1698796800000
1,"Imports",202311,"2023-11",4454259,1701388800000
1,"Imports",202312,"2023-12",14136428,1704067200000
1,"Imports",202401,"2024-01",6769069,1706745600000
2,"Exports",200601,"2006-01",62170,1138752000000
2,"Exports",200602,"2006-02",184290,1141171200000
2,"Exports",200603,"2006-03",5232,1143846000000
2,"Exports",200604,"2006-04",2205,1146438000000
2,"Exports",200605,"2006-05",2567,1149116400000
2,"Exports",200606,"2006-06",43166,1151708400000
2,"Exports",200607,"2006-07",27282,1154386800000
2,"Exports",200608,"2006-08",385351,1157065200000
2,"Exports",200609,"2006-09",364040,1159657200000
2,"Exports",200610,"2006-10",35290,1162339200000
2,"Exports",200611,"2006-11",53818,1164931200000
2,"Exports",200612,"2006-12",42376,1167609600000
2,"Exports",200701,"2007-01",90402,1170288000000
2,"Exports",200702,"2007-02",152733,1172707200000
2,"Exports",200703,"2007-03",14181,1175382000000
2,"Exports",200704,"2007-04",54938,1177974000000
2,"Exports",200705,"2007-05",286784,1180652400000
2,"Exports",200706,"2007-06",245466,1183244400000
2,"Exports",200707,"2007-07",40332,1185922800000
2,"Exports",200708,"2007-08",41623,1188601200000
2,"Exports",200709,"2007-09",364537,1191193200000
2,"Exports",200710,"2007-10",373115,1193875200000
2,"Exports",200711,"2007-11",297857,1196467200000
2,"Exports",200712,"2007-12",458197,1199145600000
2,"Exports",200801,"2008-01",786178,1201824000000
2,"Exports",200802,"2008-02",368774,1204329600000
2,"Exports",200803,"2008-03",855060,1207004400000
2,"Exports",200804,"2008-04",684060,1209596400000
2,"Exports",200805,"2008-05",1185924,1212274800000
2,"Exports",200806,"2008-06",862697,1214866800000
2,"Exports",200807,"2008-07",260974,1217545200000
2,"Exports",200808,"2008-08",98092,1220223600000
2,"Exports",200809,"2008-09",297378,1222815600000
2,"Exports",200810,"2008-10",172193,1225497600000
2,"Exports",200811,"2008-11",199227,1228089600000
2,"Exports",200812,"2008-12",269328,1230768000000
2,"Exports",200901,"2009-01",46464,1233446400000
2,"Exports",200902,"2009-02",330708,1235865600000
2,"Exports",200903,"2009-03",47646,1238540400000
2,"Exports",200904,"2009-04",153823,1241132400000
2,"Exports",200905,"2009-05",3789,1243810800000
2,"Exports",200906,"2009-06",211412,1246402800000
2,"Exports",200907,"2009-07",158227,1249081200000
2,"Exports",200908,"2009-08",45200,1251759600000
2,"Exports",200909,"2009-09",215338,1254351600000
2,"Exports",200910,"2009-10",61143,1257033600000
2,"Exports",200911,"2009-11",105756,1259625600000
2,"Exports",200912,"2009-12",31406,1262304000000
2,"Exports",201001,"2010-01",12414,1264982400000
2,"Exports",201002,"2010-02",196183,1267401600000
2,"Exports",201003,"2010-03",200378,1270076400000
2,"Exports",201004,"2010-04",173440,1272668400000
2,"Exports",201005,"2010-05",234592,1275346800000
2,"Exports",201006,"2010-06",236020,1277938800000
2,"Exports",201007,"2010-07",183814,1280617200000
2,"Exports",201008,"2010-08",218565,1283295600000
2,"Exports",201009,"2010-09",322717,1285887600000
2,"Exports",201010,"2010-10",40855,1288569600000
2,"Exports",201011,"2010-11",119572,1291161600000
2,"Exports",201012,"2010-12",62281,1293840000000
2,"Exports",201101,"2011-01",717317,1296518400000
2,"Exports",201102,"2011-02",33247,1298937600000
2,"Exports",201103,"2011-03",58927,1301612400000
2,"Exports",201104,"2011-04",44546,1304204400000
2,"Exports",201105,"2011-05",210940,1306882800000
2,"Exports",201106,"2011-06",82287,1309474800000
2,"Exports",201107,"2011-07",130563,1312153200000
2,"Exports",201108,"2011-08",695857,1314831600000
2,"Exports",201109,"2011-09",61293,1317423600000
2,"Exports",201110,"2011-10",252296,1320105600000
2,"Exports",201111,"2011-11",222038,1322697600000
2,"Exports",201112,"2011-12",284576,1325376000000
2,"Exports",201201,"2012-01",66562,1328054400000
2,"Exports",201202,"2012-02",164869,1330560000000
2,"Exports",201203,"2012-03",52953,1333234800000
2,"Exports",201204,"2012-04",158909,1335826800000
2,"Exports",201205,"2012-05",379200,1338505200000
2,"Exports",201206,"2012-06",126382,1341097200000
2,"Exports",201207,"2012-07",134724,1343775600000
2,"Exports",201208,"2012-08",66399,1346454000000
2,"Exports",201209,"2012-09",123294,1349046000000
2,"Exports",201210,"2012-10",265972,1351728000000
2,"Exports",201211,"2012-11",994,1354320000000
2,"Exports",201212,"2012-12",186057,1356998400000
2,"Exports",201301,"2013-01",28819,1359676800000
2,"Exports",201302,"2013-02",192252,1362096000000
2,"Exports",201303,"2013-03",171759,1364770800000
2,"Exports",201304,"2013-04",22920,1367362800000
2,"Exports",201305,"2013-05",162900,1370041200000
2,"Exports",201306,"2013-06",102885,1372633200000
2,"Exports",201307,"2013-07",133790,1375311600000
2,"Exports",201308,"2013-08",36771,1377990000000
2,"Exports",201309,"2013-09",89446,1380582000000
2,"Exports",201310,"2013-10",37,1383264000000
2,"Exports",201311,"2013-11",22976,1385856000000
2,"Exports",201312,"2013-12",275543,1388534400000
2,"Exports",201401,"2014-01",64790,1391212800000
2,"Exports",201402,"2014-02",233440,1393632000000
2,"Exports",201403,"2014-03",76684,1396306800000
2,"Exports",201404,"2014-04",200772,1398898800000
2,"Exports",201405,"2014-05",175197,1401577200000
2,"Exports",201406,"2014-06",32569,1404169200000
2,"Exports",201407,"2014-07",304447,1406847600000
2,"Exports",201408,"2014-08",46712,1409526000000
2,"Exports",201409,"2014-09",108090,1412118000000
2,"Exports",201410,"2014-10",386398,1414800000000
2,"Exports",201411,"2014-11",698055,1417392000000
2,"Exports",201412,"2014-12",1517483,1420070400000
2,"Exports",201501,"2015-01",924661,1422748800000
2,"Exports",201502,"2015-02",1439369,1425168000000
2,"Exports",201503,"2015-03",1063501,1427842800000
2,"Exports",201504,"2015-04",1736327,1430434800000
2,"Exports",201505,"2015-05",720837,1433113200000
2,"Exports",201506,"2015-06",1379428,1435705200000
2,"Exports",201507,"2015-07",1431195,1438383600000
2,"Exports",201508,"2015-08",797618,1441062000000
2,"Exports",201509,"2015-09",1212967,1443654000000
2,"Exports",201510,"2015-10",1156527,1446336000000
2,"Exports",201511,"2015-11",1335587,1448928000000
2,"Exports",201512,"2015-12",7416831,1451606400000
2,"Exports",201601,"2016-01",1555060,1454284800000
2,"Exports",201602,"2016-02",1463787,1456790400000
2,"Exports",201603,"2016-03",1253907,1459465200000
2,"Exports",201604,"2016-04",1066316,1462057200000
2,"Exports",201605,"2016-05",1882155,1464735600000
2,"Exports",201606,"2016-06",2228427,1467327600000
2,"Exports",201607,"2016-07",1553704,1470006000000
2,"Exports",201608,"2016-08",1368987,1472684400000
2,"Exports",201609,"2016-09",1535902,1475276400000
2,"Exports",201610,"2016-10",463086,1477958400000
2,"Exports",201611,"2016-11",2146650,1480550400000
2,"Exports",201612,"2016-12",836776,1483228800000
2,"Exports",201701,"2017-01",1209216,1485907200000
2,"Exports",201702,"2017-02",2336039,1488326400000
2,"Exports",201703,"2017-03",1910403,1491001200000
2,"Exports",201704,"2017-04",1671553,1493593200000
2,"Exports",201705,"2017-05",1568180,1496271600000
2,"Exports",201706,"2017-06",1522673,1498863600000
2,"Exports",201707,"2017-07",1398795,1501542000000
2,"Exports",201708,"2017-08",1587476,1504220400000
2,"Exports",201709,"2017-09",1314521,1506812400000
2,"Exports",201710,"2017-10",1037142,1509494400000
2,"Exports",201711,"2017-11",931840,1512086400000
2,"Exports",201712,"2017-12",1721214,1514764800000
2,"Exports",201801,"2018-01",480713,1517443200000
2,"Exports",201802,"2018-02",1861825,1519862400000
2,"Exports",201803,"2018-03",2841821,1522537200000
2,"Exports",201804,"2018-04",1937153,1525129200000
2,"Exports",201805,"2018-05",1355848,1527807600000
2,"Exports",201806,"2018-06",3449236,1530399600000
2,"Exports",201807,"2018-07",1017917,1533078000000
2,"Exports",201808,"2018-08",1068637,1535756400000
2,"Exports",201809,"2018-09",2167878,1538348400000
2,"Exports",201810,"2018-10",1075255,1541030400000
2,"Exports",201811,"2018-11",788159,1543622400000
2,"Exports",201812,"2018-12",471643,1546300800000
2,"Exports",201901,"2019-01",1122809,1548979200000
2,"Exports",201902,"2019-02",879724,1551398400000
2,"Exports",201903,"2019-03",770717,1554073200000
2,"Exports",201904,"2019-04",614231,1556665200000
2,"Exports",201905,"2019-05",789061,1559343600000
2,"Exports",201906,"2019-06",500677,1561935600000
2,"Exports",201907,"2019-07",607212,1564614000000
2,"Exports",201908,"2019-08",449052,1567292400000
2,"Exports",201909,"2019-09",248188,1569884400000
2,"Exports",201910,"2019-10",20013,1572566400000
2,"Exports",201911,"2019-11",118298,1575158400000
2,"Exports",201912,"2019-12",1874404,1577836800000
2,"Exports",202001,"2020-01",1461644,1580515200000
2,"Exports",202002,"2020-02",2092292,1583020800000
2,"Exports",202003,"2020-03",2840127,1585695600000
2,"Exports",202004,"2020-04",1183810,1588287600000
2,"Exports",202005,"2020-05",984285,1590966000000
2,"Exports",202006,"2020-06",4047037,1593558000000
2,"Exports",202007,"2020-07",3020670,1596236400000
2,"Exports",202008,"2020-08",4206336,1598914800000
2,"Exports",202009,"2020-09",4520738,1601506800000
2,"Exports",202010,"2020-10",3815473,1604188800000
2,"Exports",202011,"2020-11",1729887,1606780800000
2,"Exports",202012,"2020-12",2647770,1609459200000
2,"Exports",202101,"2021-01",1995661,1612137600000
2,"Exports",202102,"2021-02",1954810,1614556800000
2,"Exports",202103,"2021-03",2313583,1617231600000
2,"Exports",202104,"2021-04",2995796,1619823600000
2,"Exports",202105,"2021-05",2699894,1622502000000
2,"Exports",202106,"2021-06",2227886,1625094000000
2,"Exports",202107,"2021-07",884907,1627772400000
2,"Exports",202108,"2021-08",1712907,1630450800000
2,"Exports",202109,"2021-09",1315245,1633042800000
2,"Exports",202110,"2021-10",1677462,1635724800000
2,"Exports",202111,"2021-11",2083976,1638316800000
2,"Exports",202112,"2021-12",1649697,1640995200000
2,"Exports",202201,"2022-01",3240491,1643673600000
2,"Exports",202202,"2022-02",3358991,1646092800000
2,"Exports",202203,"2022-03",1195617,1648767600000
2,"Exports",202204,"2022-04",1270980,1651359600000
2,"Exports",202205,"2022-05",668658,1654038000000
2,"Exports",202206,"2022-06",2312169,1656630000000
2,"Exports",202207,"2022-07",536980,1659308400000
2,"Exports",202208,"2022-08",2295183,1661986800000
2,"Exports",202209,"2022-09",1102201,1664578800000
2,"Exports",202210,"2022-10",2002780,1667260800000
2,"Exports",202211,"2022-11",1839254,1669852800000
2,"Exports",202212,"2022-12",901458,1672531200000
2,"Exports",202301,"2023-01",1356244,1675209600000
2,"Exports",202302,"2023-02",2124153,1677628800000
2,"Exports",202303,"2023-03",4591709,1680303600000
2,"Exports",202304,"2023-04",1514022,1682895600000
2,"Exports",202305,"2023-05",3179425,1685574000000
2,"Exports",202306,"2023-06",3086821,1688166000000
2,"Exports",202307,"2023-07",2178880,1690844400000
2,"Exports",202308,"2023-08",4257124,1693522800000
2,"Exports",202309,"2023-09",2651339,1696114800000
2,"Exports",202310,"2023-10",2360011,1698796800000
2,"Exports",202311,"2023-11",1918456,1701388800000
2,"Exports",202312,"2023-12",1471968,1704067200000
2,"Exports",202401,"2024-01",402642,1706745600000